skift,maal,mean,lo,hi,sd
Dag_hverdag,Normal,79.47818791946308,78.81186100482971,80.0479834410086,0.3201796474913058
Dag_hverdag,Brudd,15.320846139371511,14.808850279119362,15.869347048861568,0.2685429765740869
Dag_hverdag,Svikt,5.200965941165402,4.892272470676786,5.557454682305714,0.17248257966944366
Dag_hverdag,overloep_pst,1.1229536473687511,0.9593552029103681,1.2798720441573102,0.08347622984674749
Dag_hverdag,vl_pst,3.7121777582638145,3.4496330678040517,3.9829392209747225,0.1284518916676702
Dag_hverdag,ventet_pst,1.469155742332058,1.2982186539547138,1.649626795458822,0.09159640382219267
Dag_hverdag,dpri1_makkerpar_pst,80.73467862481316,79.82062780269058,81.56452416542102,0.4818545800470975
Natt_helg,Normal,71.84186985104435,71.28942331696763,72.43946076391778,0.306073166727363
Natt_helg,Brudd,10.21145044520263,9.84417907963718,10.58521261546143,0.20312025743212378
Natt_helg,Svikt,17.946679703753016,17.342098693517517,18.548930681534493,0.3117064904081254
Natt_helg,overloep_pst,3.896313555795956,3.594907214779063,4.194266455854206,0.15803997818545576
Natt_helg,vl_pst,13.794582674544394,13.297828076891072,14.329907630856287,0.2650641789055258
Natt_helg,ventet_pst,4.141362236831156,3.8526670550054094,4.411042689523175,0.1464037958169428
Natt_helg,dpri1_makkerpar_pst,78.90439406099519,78.00963081861958,79.85553772070627,0.45352796806935647
