skift,maal,mean,lo,hi,sd,scenario,kilde
Dag_hverdag,Normal,79.50772543854147,78.81029291852224,80.01709214075142,0.3057607353341011,S0_baseline,trace
Dag_hverdag,Brudd,15.288057454682306,14.802577933889483,15.80097848585586,0.25545910389306464,S0_baseline,trace
Dag_hverdag,Svikt,5.204217106776224,4.860597127265884,5.54020573292354,0.1715082762037316,S0_baseline,trace
Dag_hverdag,overloep_pst,1.1387442764849776,0.9783290472307595,1.3173493069058522,0.0838605242233338,S0_baseline,trace
Dag_hverdag,vl_pst,3.6997428338455753,3.4806811766919656,3.933074076397165,0.12557768598117733,S0_baseline,trace
Dag_hverdag,ventet_pst,1.484559576825775,1.3231512262434924,1.6573104183654264,0.09312265349679395,S0_baseline,trace
Dag_hverdag,dpri1_makkerpar_pst,80.75984055804683,79.8704534130543,81.51594419531638,0.46837098215803813,S0_baseline,trace
Natt_helg,Normal,71.83351363346371,71.37305483897812,72.35021219938422,0.3003026275584179,S0_baseline,trace
Natt_helg,Brudd,10.195278910432444,9.83502538071066,10.587084962969127,0.20383918485990374,S0_baseline,trace
Natt_helg,Svikt,17.97120745610385,17.366439211117587,18.56640592493967,0.3098243660251131,S0_baseline,trace
Natt_helg,overloep_pst,3.894482816010651,3.5863776316884417,4.162228509611383,0.14907516109109462,S0_baseline,trace
Natt_helg,vl_pst,13.816676375135224,13.320920362819338,14.330739785304152,0.25992556665600247,S0_baseline,trace
Natt_helg,ventet_pst,4.144267842778286,3.9100857119081307,4.4023050678205875,0.13442344267332856,S0_baseline,trace
Natt_helg,dpri1_makkerpar_pst,78.91051364365971,78.00762439807384,79.8164125200642,0.4704783039667087,S0_baseline,trace
Dag_hverdag,Normal,79.49230592318467,78.81013610989149,80.00454745029165,0.30772482563344306,S1_pluss1_natthelg,trace
Dag_hverdag,Brudd,15.29819774613728,14.802577933889483,15.831399360220786,0.25670807457893985,S1_pluss1_natthelg,trace
Dag_hverdag,Svikt,5.209496330678039,4.860753935896632,5.552750423383302,0.17215754031989944,S1_pluss1_natthelg,trace
Dag_hverdag,overloep_pst,1.1391101632900538,0.9783290472307595,1.3173493069058522,0.08381890565835996,S1_pluss1_natthelg,trace
Dag_hverdag,vl_pst,3.704708440485897,3.499027786489368,3.9395032302577935,0.12607466577029705,S1_pluss1_natthelg,trace
Dag_hverdag,ventet_pst,1.4848731940872695,1.3231512262434924,1.6574672269961734,0.0930294130409701,S1_pluss1_natthelg,trace
Dag_hverdag,dpri1_makkerpar_pst,80.75319714333166,79.8704534130543,81.51594419531638,0.46964019012085717,S1_pluss1_natthelg,trace
Natt_helg,Normal,81.0501095670023,80.52716984272281,81.60189731214113,0.2914286186825798,S1_pluss1_natthelg,trace
Natt_helg,Brudd,14.426437546808689,13.927768993925273,14.921985520512607,0.26053695874254607,S1_pluss1_natthelg,trace
Natt_helg,Svikt,4.523452886189009,4.2350420237996165,4.801739202796039,0.1472471937721603,S1_pluss1_natthelg,trace
Natt_helg,overloep_pst,1.0971262933067043,0.9311808271615212,1.2734043438462177,0.09835537858360838,S1_pluss1_natthelg,trace
Natt_helg,vl_pst,3.148803084519153,2.936256969293501,3.3542065407339603,0.10932406921852957,S1_pluss1_natthelg,trace
Natt_helg,ventet_pst,1.3740256858339572,1.2059998335691104,1.523050678205875,0.08734496540835082,S1_pluss1_natthelg,trace
Natt_helg,dpri1_makkerpar_pst,82.24250936329587,81.37841091492778,83.14606741573034,0.4360607895169473,S1_pluss1_natthelg,trace
Dag_hverdag,Normal,93.93986911706287,93.57617763281692,94.2432415480148,0.16954810154788813,S2_pluss1_dag,trace
Dag_hverdag,Brudd,3.1466787932007776,2.8788496518848397,3.3649564072006517,0.12992411131207052,S2_pluss1_dag,trace
Dag_hverdag,Svikt,2.913452089736352,2.658533525685254,3.176472433042714,0.1458536233169687,S2_pluss1_dag,trace
Dag_hverdag,overloep_pst,0.6457379414162957,0.5267201906792949,0.8284199962365928,0.07514439501107649,S2_pluss1_dag,trace
Dag_hverdag,vl_pst,2.0471889439461415,1.881703568964436,2.25820109138807,0.09552084668996451,S2_pluss1_dag,trace
Dag_hverdag,ventet_pst,0.8527776035459659,0.7023458571159756,1.0360346233456685,0.08792343632234197,S2_pluss1_dag,trace
Dag_hverdag,dpri1_makkerpar_pst,95.2549410396944,94.66616841056303,95.71748878923766,0.30956327415390633,S2_pluss1_dag,trace
Natt_helg,Normal,71.82824332196056,71.37305483897812,72.35021219938422,0.29967154392076717,S2_pluss1_dag,trace
Natt_helg,Brudd,10.145627028376468,9.76096363485063,10.537571773321128,0.20320233447178973,S2_pluss1_dag,trace
