skift,maal,mean,lo,hi
Dag_hverdag,Normal,84.2304026496208,84.04817171602411,84.33808986224443
Dag_hverdag,Brudd,13.08371298045478,12.939226914775539,13.397703041796886
Dag_hverdag,Svikt,2.685884369924422,2.5541252421790057,2.804155999332285
Dag_hverdag,overloep_pst,0.2184510427593202,0.19970468086832235,0.25077115678618844
Dag_hverdag,vl_pst,2.4347838371545825,2.299791484522626,2.5241667764882285
Dag_hverdag,ventet_pst,0.2511005327698386,0.23108235879901579,0.28801963416215964
Dag_hverdag,dpri1_makkerpar_pst,82.91169584502762,81.94372566504155,84.01214187349268
Natt_helg,Normal,82.69330058873277,82.43504643298573,83.07020775864612
Natt_helg,Brudd,5.018903717376802,4.750159282446775,5.1951819429155455
Natt_helg,Svikt,12.287795693890427,12.172262511551478,12.466056588408135
Natt_helg,overloep_pst,1.5341941175794902,1.417780344027499,1.7283373991376587
Natt_helg,vl_pst,10.693075721902733,10.5715031931127,10.810776911150162
Natt_helg,ventet_pst,1.5947199719876939,1.4770967389518797,1.767154721745048
Natt_helg,dpri1_makkerpar_pst,81.99952257955064,81.25248201395645,83.02502792600444
