Oppdrag_ID,110_ID,Oppdragstype,Opprinnelig_oppdragstype,v3_kat
2874229,B06-250101-1,Oppdrag løst av 110,Brann annet,L-hendelse
2874233,B06-250101-2,Brannhindrende annet utenfor bygg,Brann annet,D-pri1
2874244,B06-250101-3,Oppdrag løst av 110,,L-ukjent
2874261,B06-250101-4,Oppdrag løst av 110,,L-ukjent
2874252,B06-250101-6,Oppdrag løst av 110,ABA,L-hendelse
2874248,B06-250101-7,Nødanrop 112 viderekoble,,V
2874254,B06-250101-8,Oppdrag løst av 110,,L-ukjent
2874251,B06-250101-9,Oppdrag løst av 110,Brann annet,L-hendelse
2874249,B06-250101-10,Oppdrag løst av 110,ABA,L-hendelse
2874272,B06-250101-11,Oppdrag løst av 110,Andre oppdrag/assistanse,L-hendelse
2874485,B06-250101-12,Oppdrag løst av 110,,L-ukjent
2874290,B06-250101-13,Brann annet,,D-pri1
2874295,B06-250101-14,Oppdrag løst av 110,Brann annet,L-hendelse
2874297,B06-250101-15,Trussel om selvdrap,Trussel om selvdrap - land,D-pri1
2874321,B06-250101-17,Brann annet,Brann annet,D-pri1
2874325,B06-250101-18,Oppdrag løst av 110,,L-ukjent
2874337,B06-250101-19,Brann annet,Eksplosjon,D-pri1
2874342,B06-250101-20,Brann i søppelcontainer,Brann annet,D-pri1
2874345,B06-250101-21,Oppdrag løst av 110,,L-ukjent
2874346,B06-250101-22,Oppdrag løst av 110,Brann annet,L-hendelse
2874349,B06-250101-23,Oppdrag løst av 110,Brann annet,L-hendelse
2874350,B06-250101-24,Brann i søppelkasse,Brann annet,D-pri1
2874353,B06-250101-25,Oppdrag løst av 110,,L-ukjent
2874355,B06-250101-26,Trafikkulykke,Trafikkulykke,D-pri1
2874363,B06-250101-27,Oppdrag løst av 110,Brann annet,L-hendelse
2874484,B06-250101-28,Oppdrag løst av 110,,L-ukjent
2874370,B06-250101-29,Brann i bygning,Brann i bygning,D-pri1
2874376,B06-250101-30,Brann annet,Brann i bygning,D-pri1
2874391,B06-250101-32,Oppdrag løst av 110,ABA,L-hendelse
2874401,B06-250101-33,Oppdrag løst av 110,,L-ukjent
2874402,B06-250101-34,Oppdrag løst av 110,,L-ukjent
2874404,B06-250101-35,Nødanrop feilring,,F
2874405,B06-250101-36,Oppdrag løst av 110,ABA,L-aba
2874415,B06-250101-37,Nødanrop feilring,,F
2874420,B06-250101-38,Nødanrop 112 viderekoble,,V
2874418,B06-250101-39,Oppdrag løst av 110,Røykvarsler,L-hendelse
2874428,B06-250101-40,Oppdrag løst av 110,ABA,L-aba
2874435,B06-250101-43,Brann i bygning,ABA,D-aba
2874483,B06-250101-45,Oppdrag løst av 110,,L-ukjent
2874440,B06-250101-47,Beredskapsoppdrag,,D-pri1
2874482,B06-250101-49,Oppdrag løst av 110,,L-ukjent
2874474,B06-250101-50,Oppdrag løst av 110,,L-ukjent
2874467,B06-250101-51,Oppdrag løst av 110,Andre oppdrag/assistanse,L-hendelse
2874494,B06-250101-53,Oppdrag løst av 110,Andre oppdrag/assistanse,L-hendelse
2874496,B06-250101-54,Oppdrag løst av 110,,L-ukjent
2874503,B06-250101-55,Oppdrag løst av 110,,L-ukjent
2874509,B06-250101-56,Ikke reell nødmelding,,F
2874514,B06-250101-57,Oppdrag løst av 110,,L-ukjent
2874542,B06-250101-58,Nødanrop feilring,,F
2874624,B06-250101-59,Nødanrop feilring,,F
2874614,B06-250101-60,Oppdrag løst av 110,,L-ukjent
2874612,B06-250101-61,Andre oppdrag,,D-pri1
2874622,B06-250101-62,Oppdrag løst av 110,,L-ukjent
2874646,B06-250101-64,Unødig kontroll av melding,,D-pri1
2874654,B06-250101-65,RVR uten foregående innsats,RVR uten foregående innsats,D-pri1
2874655,B06-250101-66,Oppdrag løst av 110,,L-ukjent
2874676,B06-250101-67,Oppdrag løst av 110,,L-ukjent
2874684,B06-250101-68,Oppdrag løst av 110,Bistand politi - Ikke akutt,L-hendelse
2874736,B06-250101-69,Oppdrag løst av 110,,L-ukjent
2874744,B06-250101-70,Oppdrag løst av 110,,L-ukjent
2874700,B06-250101-71,Beredskapsoppdrag,,D-pri1
2874718,B06-250101-72,Oppdrag løst av 110,,L-ukjent
2874733,B06-250101-73,Heisstopp,Heisalarm,D-pri1
2874735,B06-250101-74,Oppdrag løst av 110,Heisalarm,L-hendelse
2874737,B06-250101-75,Oppdrag løst av 110,,L-ukjent
2874831,B06-250101-76,Oppdrag løst av 110,,L-ukjent
2874738,B06-250101-77,Oppdrag løst av 110,,L-ukjent
2874752,B06-250101-79,Oppdrag løst av 110,,L-ukjent
2874754,B06-250101-80,Unødig kontroll av melding,,D-pri1
2874761,B06-250101-81,Oppdrag løst av 110,,L-ukjent
2874779,B06-250101-82,Nødanrop feilring,,F
2874780,B06-250101-83,Oppdrag løst av 110,,L-ukjent
2874797,B06-250101-84,Trussel om selvdrap,Trussel om selvdrap - Vann,D-pri1
2874832,B06-250101-86,Oppdrag løst av 110,,L-ukjent
2874830,B06-250101-87,Oppdrag løst av 110,,L-ukjent
2874841,B06-250101-88,Oppdrag løst av 110,,L-ukjent
2874844,B06-250101-89,Nødanrop feilring,,F
2874846,B06-250101-90,Nødanrop feilring,,F
2874869,B06-250101-91,ABA trykkfall sprinkler,ABA,D-aba
2874902,B06-250101-93,Nødanrop feilring,,F
2874901,B06-250101-94,Nødanrop feilring,,F
2874905,B06-250101-95,Oppdrag løst av 110,ABA,L-hendelse
2874927,B06-250101-98,Brann i skorstein,Brann i skorstein,D-pri1
2874944,B06-250101-102,Oppdrag løst av 110,,L-ukjent
2874951,B06-250101-103,Innbruddsalarm viderevarslet,,D-pri1
2874958,B06-250101-105,Trafikkulykke,,D-pri1
2874970,B06-250101-107,Oppdrag løst av 110,,L-ukjent
2874978,B06-250101-109,Oppdrag løst av 110,,L-ukjent
2874979,B06-250101-113,Oppdrag løst av 110,,L-ukjent
2874997,B06-250101-114,Nødanrop feilring,,F
2875056,B06-250101-116,Oppdrag løst av 110,,L-ukjent
2875057,B06-250101-117,Oppdrag løst av 110,ABA,L-hendelse
2875084,B06-250101-119,Oppdrag løst av 110,,L-ukjent
2875078,B06-250101-120,Nødanrop feilring,,F
2875083,B06-250101-121,Nødanrop feilring,,F
2875092,B06-250102-1,ABA teknisk feil,ABA,D-aba
2875109,B06-250102-2,Ikke reell nødmelding,,F
2875163,B06-250102-3,Ikke reell nødmelding,,F
2875165,B06-250102-4,Ikke reell nødmelding,,F
2875164,B06-250102-5,Ikke reell nødmelding,,F
2875166,B06-250102-6,Ikke reell nødmelding,,F
2875167,B06-250102-7,Ikke reell nødmelding,,F
2875117,B06-250102-8,Ikke reell nødmelding,,F
2875118,B06-250102-9,Ikke reell nødmelding,,F
2875119,B06-250102-10,Ikke reell nødmelding,,F
2875123,B06-250102-11,Ikke reell nødmelding,,F
2875124,B06-250102-12,Ikke reell nødmelding,,F
2875170,B06-250102-13,Ikke reell nødmelding,,F
2875169,B06-250102-14,Ikke reell nødmelding,,F
2875171,B06-250102-15,Ikke reell nødmelding,,F
2875135,B06-250102-16,Oppdrag løst av 110,,L-ukjent
2875141,B06-250102-17,ABA arbeid på/i bygg,,D-pri1
2875201,B06-250102-28,Brannhindrende annet utenfor bygg,Brann annet,D-pri1
2875198,B06-250102-29,Trafikkulykke,Trafikkulykke,D-pri1
2875205,B06-250102-31,Oppdrag løst av 110,,L-ukjent
2875244,B06-250102-50,Oppdrag løst av 110,,L-ukjent
2875259,B06-250102-52,Oppdrag løst av 110,,L-ukjent
2875261,B06-250102-55,Helseoppdrag annet,Helseoppdrag - Akutt,D-pri1
2875297,B06-250102-60,Oppdrag løst av 110,ABA,L-hendelse
2875304,B06-250102-62,Oppdrag løst av 110,,L-ukjent
2875305,B06-250102-64,Oppdrag løst av 110,ABA,L-aba
2875372,B06-250102-65,Oppdrag løst av 110,,L-ukjent
2875313,B06-250102-66,Oppdrag løst av 110,,L-ukjent
2875332,B06-250102-72,Oppdrag løst av 110,ABA,L-aba
2875377,B06-250102-73,Oppdrag løst av 110,,L-ukjent
2875369,B06-250102-76,ECall feil bruk,,F
2875373,B06-250102-78,ECall feil bruk,,F
2875393,B06-250102-80,Oppdrag løst av 110,,L-ukjent
2875426,B06-250102-83,Oppdrag løst av 110,,L-ukjent
2875569,B06-250102-85,Oppdrag løst av 110,,L-ukjent
2875434,B06-250102-86,Oppdrag løst av 110,,L-ukjent
2875447,B06-250102-89,Oppdrag løst av 110,,L-ukjent
2875494,B06-250102-94,Oppdrag løst av 110,,L-ukjent
2875487,B06-250102-98,Oppdrag løst av 110,ABA,L-hendelse
2875516,B06-250102-101,Oppdrag løst av 110,,L-ukjent
2875541,B06-250102-103,ECall veihjelp,,F
2875552,B06-250102-105,Oppdrag løst av 110,ABA,L-aba
2875654,B06-250102-107,Nødanrop feilring,,F
2875553,B06-250102-108,Brann annet,Brann annet,D-pri1
2875565,B06-250102-109,Trafikkulykke,Trafikkulykke,D-pri1
2875599,B06-250102-121,Brann i skorstein,Brann i skorstein,D-pri1
2875594,B06-250102-118,Helseoppdrag annet,Helseoppdrag - Ikke Akutt,D-pri1
2875595,B06-250102-119,Nødanrop feilring,,F
2875660,B06-250102-120,Oppdrag løst av 110,,L-ukjent
2875601,B06-250102-123,Brann i bygning,Brann i bygning,D-pri1
2875822,B06-250102-129,Oppdrag løst av 110,,L-ukjent
2875821,B06-250102-130,Oppdrag løst av 110,,L-ukjent
2875659,B06-250102-131,Oppdrag løst av 110,,L-ukjent
2875622,B06-250102-132,Ikke reell nødmelding,,F
2875638,B06-250102-133,Oppdrag løst av 110,,L-ukjent
2875637,B06-250102-140,Oppdrag løst av 110,,L-ukjent
2875639,B06-250102-138,Oppdrag løst av 110,,L-ukjent
2875647,B06-250102-142,Oppdrag løst av 110,ABA,L-aba
2875662,B06-250102-144,ABA matlaging,ABA,D-aba
2875741,B06-250102-150,Oppdrag løst av 110,,L-ukjent
2875744,B06-250102-152,Oppdrag løst av 110,,L-ukjent
2875749,B06-250102-154,ECall feil bruk,,F
2875765,B06-250102-157,Oppdrag løst av 110,,L-ukjent
2875768,B06-250102-158,Nødanrop feilring,,F
2875783,B06-250102-159,Oppdrag løst av 110,,L-ukjent
2875790,B06-250102-160,Avbrutt utrykning alarm,ABA,D-aba
2875793,B06-250102-162,Oppdrag løst av 110,ABA,L-aba
2875853,B06-250102-164,Oppdrag løst av 110,,L-ukjent
2875801,B06-250102-165,Nødanrop feilring,,F
2875809,B06-250102-168,Nødanrop feilring,,F
2875829,B06-250102-172,ABA matlaging,ABA,D-aba
2875839,B06-250102-176,Trafikkulykke,Trafikkulykke,D-pri1
2875855,B06-250102-179,Oppdrag løst av 110,,L-ukjent
2875858,B06-250102-180,Trafikkulykke,,D-pri1
2875860,B06-250102-181,Helseoppdrag annet,Helseoppdrag - Akutt,D-pri1
2875867,B06-250102-182,Avbrutt utrykning alarm,,D-pri1
2875920,B06-250102-183,Oppdrag løst av 110,,L-ukjent
2875918,B06-250102-184,Oppdrag løst av 110,,L-ukjent
2875870,B06-250102-185,Trafikkulykke,Trafikkulykke,D-pri1
2875999,B06-250102-188,Oppdrag løst av 110,,L-ukjent
2875884,B06-250102-189,Oppdrag løst av 110,,L-ukjent
2875903,B06-250102-192,Brann i bygning,,D-pri1
2875917,B06-250102-196,Oppdrag løst av 110,,L-ukjent
2875921,B06-250102-198,Oppdrag løst av 110,,L-ukjent
2875930,B06-250102-200,Ikke reell nødmelding,,F
2875937,B06-250102-201,Oppdrag løst av 110,Brann i skorstein,L-hendelse
2876004,B06-250102-202,Oppdrag løst av 110,,L-ukjent
2875992,B06-250102-203,Oppdrag løst av 110,,L-ukjent
2875938,B06-250102-204,Nødanrop feilring,,F
2875993,B06-250102-205,Oppdrag løst av 110,,L-ukjent
2876002,B06-250102-206,Oppdrag løst av 110,,L-ukjent
2875994,B06-250102-207,Oppdrag løst av 110,,L-ukjent
2875956,B06-250102-214,Brann i skorstein,Brann i skorstein,D-pri1
2876003,B06-250102-215,Oppdrag løst av 110,,L-ukjent
2875978,B06-250102-216,Oppdrag løst av 110,,L-ukjent
2875976,B06-250102-217,Avbrutt utrykning alarm,ABA,D-aba
2876012,B06-250102-219,Oppdrag løst av 110,,L-ukjent
2876070,B06-250102-220,Oppdrag løst av 110,,L-ukjent
2876114,B06-250102-221,Nødanrop feilring,,F
2876122,B06-250102-222,Oppdrag løst av 110,Andre oppdrag/assistanse,L-hendelse
2876121,B06-250102-223,Avbrutt utrykning alarm,ABA,D-aba
2876125,B06-250102-224,Nødanrop feilring,,F
2876128,B06-250102-225,Nødanrop feilring,,F
2876140,B06-250102-226,Oppdrag løst av 110,,L-ukjent
2876143,B06-250102-228,ECall feil bruk,,F
2876157,B06-250102-229,Trafikkulykke,Trafikkulykke,D-pri1
2876158,B06-250102-230,ECall feil bruk,,F
2876180,B06-250102-232,Nødanrop feilring,,F
2876202,B06-250102-240,Oppdrag løst av 110,,L-ukjent
2876208,B06-250102-241,Oppdrag løst av 110,ABA,L-aba
2876224,B06-250102-242,Nødanrop feilring,,F
2876236,B06-250102-244,Avbrutt utrykning alarm,ABA,D-aba
2876292,B06-250102-245,Oppdrag løst av 110,,L-ukjent
2876244,B06-250102-248,Oppdrag løst av 110,,L-ukjent
2876246,B06-250102-247,Oppdrag løst av 110,,L-ukjent
2876298,B06-250102-249,Oppdrag løst av 110,,L-ukjent
2876277,B06-250102-251,Oppdrag løst av 110,,L-ukjent
2876299,B06-250102-253,Oppdrag løst av 110,,L-ukjent
2876287,B06-250102-255,Oppdrag løst av 110,,L-ukjent
2876311,B06-250102-258,Nødanrop feilring,,F
2876309,B06-250102-260,Oppdrag løst av 110,,L-ukjent
2876365,B06-250102-263,Oppdrag løst av 110,,L-ukjent
2876327,B06-250102-265,Ulykke/redning annet,Helseoppdrag - Akutt,D-pri1
2876328,B06-250102-266,ABA manuell melder,,D-pri1
2876345,B06-250102-269,Oppdrag løst av 110,,L-ukjent
2876348,B06-250102-270,Brann annet,Brann i kjøretøy,D-pri1
2876507,B06-250102-271,Oppdrag løst av 110,,L-ukjent
2876424,B06-250102-272,Oppdrag løst av 110,,L-ukjent
2876366,B06-250102-273,Oppdrag løst av 110,,L-ukjent
2876367,B06-250102-275,Unødig kontroll av melding,Brann i skorstein,D-pri1
2876395,B06-250102-276,Nødanrop feilring,,F
2876397,B06-250102-277,Oppdrag løst av 110,Andre oppdrag/assistanse,L-hendelse
2876412,B06-250103-1,Trafikkulykke,Trafikkulykke,D-pri1
2876416,B06-250103-2,ECall feil bruk,eCall,F
2876508,B06-250103-3,Oppdrag løst av 110,,L-ukjent
2876422,B06-250103-5,ABA teknisk feil,,D-pri1
2876445,B06-250103-6,Trafikkulykke,eCall,D-pri1
2876449,B06-250103-8,Nødanrop 112 viderekoble,,V
2876461,B06-250103-9,ABA vanndamp,,D-pri1
2876464,B06-250103-11,Brann annet,,D-pri1
2876471,B06-250103-12,ABA teknisk feil,,D-pri1
2876479,B06-250103-13,Oppdrag løst av 110,,L-ukjent
2876478,B06-250103-14,Oppdrag løst av 110,,L-ukjent
2876476,B06-250103-16,Oppdrag løst av 110,,L-ukjent
2876493,B06-250103-17,Oppdrag løst av 110,,L-ukjent
2876491,B06-250103-18,Oppdrag løst av 110,,L-ukjent
2876490,B06-250103-19,Oppdrag løst av 110,,L-ukjent
2876492,B06-250103-20,Oppdrag løst av 110,,L-ukjent
2876509,B06-250103-24,Oppdrag løst av 110,,L-ukjent
2876504,B06-250103-25,Oppdrag løst av 110,,L-ukjent
2876517,B06-250103-27,ABA teknisk feil,ABA,D-pri1
2876569,B06-250103-30,Oppdrag løst av 110,,L-ukjent
2876564,B06-250103-43,Oppdrag løst av 110,,L-ukjent
2876538,B06-250103-33,Oppdrag løst av 110,,L-ukjent
2876546,B06-250103-34,Oppdrag løst av 110,,L-ukjent
2876542,B06-250103-35,Oppdrag løst av 110,,L-ukjent
2876559,B06-250103-39,Oppdrag løst av 110,,L-ukjent
2876562,B06-250103-41,Oppdrag løst av 110,,L-ukjent
2876570,B06-250103-44,Oppdrag løst av 110,,L-ukjent
2876582,B06-250103-53,Service,ABA,S
2876586,B06-250103-54,Oppdrag løst av 110,,L-ukjent
2876588,B06-250103-55,Avbrutt utrykning alarm,ABA,D-pri1
2876597,B06-250103-59,Oppdrag løst av 110,,L-ukjent
2876598,B06-250103-60,Brann i bygning,,D-pri1
2876611,B06-250103-64,Oppdrag løst av 110,,L-ukjent
2876650,B06-250103-66,Oppdrag løst av 110,,L-ukjent
2876612,B06-250103-63,Oppdrag løst av 110,,L-ukjent
2876646,B06-250103-71,Oppdrag løst av 110,,L-ukjent
2876716,B06-250103-80,Oppdrag løst av 110,ABA,L-hendelse
2876846,B06-250103-82,Oppdrag løst av 110,,L-ukjent
2876755,B06-250103-84,Oppdrag løst av 110,,L-ukjent
2876744,B06-250103-83,Oppdrag løst av 110,,L-ukjent
2876775,B06-250103-91,Oppdrag løst av 110,,L-ukjent
2876777,B06-250103-93,Oppdrag løst av 110,,L-ukjent
2876810,B06-250103-96,Oppdrag løst av 110,,L-ukjent
2876832,B06-250103-100,Oppdrag løst av 110,,L-ukjent
2876826,B06-250103-102,Oppdrag løst av 110,,L-ukjent
2876838,B06-250103-105,ABA matlaging,ABA,D-pri1
2876865,B06-250103-108,ABA annet,,D-pri1
2876909,B06-250103-111,Oppdrag løst av 110,,L-ukjent
2876895,B06-250103-112,Oppdrag løst av 110,,L-ukjent
2876934,B06-250103-121,Oppdrag løst av 110,ABA,L-hendelse
2876985,B06-250103-123,Oppdrag løst av 110,,L-ukjent
2876937,B06-250103-126,Oppdrag løst av 110,,L-ukjent
2876984,B06-250103-127,Oppdrag løst av 110,,L-ukjent
2877330,B06-250103-128,Oppdrag løst av 110,,L-ukjent
2876955,B06-250103-132,Avbrutt utrykning alarm,,D-pri1
2877017,B06-250103-146,Oppdrag løst av 110,Andre oppdrag/assistanse,L-hendelse
2877027,B06-250103-149,Oppdrag løst av 110,,L-ukjent
2877090,B06-250103-151,Oppdrag løst av 110,,L-ukjent
2877070,B06-250103-158,Oppdrag løst av 110,,L-ukjent
2877080,B06-250103-159,Oppdrag løst av 110,,L-ukjent
2877151,B06-250103-160,Oppdrag løst av 110,,L-ukjent
2877124,B06-250103-163,Oppdrag løst av 110,,L-ukjent
2877157,B06-250103-166,Oppdrag løst av 110,,L-ukjent
2877168,B06-250103-169,Unødig kontroll av melding,ABA,D-pri1
2877389,B06-250103-170,Oppdrag løst av 110,,L-ukjent
2877192,B06-250103-173,Ikke reell nødmelding,,F
2877189,B06-250103-174,Oppdrag løst av 110,,L-ukjent
2877224,B06-250103-177,Oppdrag løst av 110,ABA,L-aba
2877221,B06-250103-179,Oppdrag løst av 110,,L-ukjent
2877250,B06-250103-180,Oppdrag løst av 110,,L-ukjent
2877277,B06-250103-184,Oppdrag løst av 110,,L-ukjent
2877327,B06-250103-185,Oppdrag løst av 110,,L-ukjent
2877286,B06-250103-186,Oppdrag løst av 110,,L-ukjent
2877295,B06-250103-187,Oppdrag løst av 110,,L-ukjent
2877326,B06-250103-188,Oppdrag løst av 110,,L-ukjent
2877329,B06-250103-189,Oppdrag løst av 110,,L-ukjent
2877318,B06-250103-190,Oppdrag løst av 110,,L-ukjent
2877309,B06-250103-191,Oppdrag løst av 110,,L-ukjent
2877321,B06-250103-192,Oppdrag løst av 110,,L-ukjent
2877322,B06-250103-195,Nødanrop feilring,,F
2877323,B06-250103-196,Oppdrag løst av 110,,L-ukjent
2877357,B06-250103-201,Oppdrag løst av 110,ABA,L-hendelse
2877385,B06-250103-204,Oppdrag løst av 110,,L-ukjent
2877387,B06-250103-206,Avbrutt utrykning alarm,ABA,D-pri1
2877418,B06-250103-212,ABA arbeid på/i bygg,,D-pri1
2877598,B06-250103-215,Oppdrag løst av 110,,L-ukjent
2877473,B06-250103-217,Oppdrag løst av 110,,L-ukjent
2877483,B06-250103-224,Oppdrag løst av 110,,L-ukjent
2877504,B06-250103-225,Oppdrag løst av 110,ABA,L-aba
2877503,B06-250103-226,Oppdrag løst av 110,,L-ukjent
2877506,B06-250103-227,ECall feil bruk,eCall,F
2877508,B06-250103-228,Oppdrag løst av 110,,L-ukjent
2877522,B06-250103-229,Oppdrag løst av 110,,L-ukjent
2877528,B06-250103-230,RVR uten foregående innsats,,D-pri1
2877603,B06-250103-231,Oppdrag løst av 110,,L-ukjent
2877534,B06-250103-233,ECall feil bruk,eCall,F
2877602,B06-250103-235,Oppdrag løst av 110,,L-ukjent
2877580,B06-250103-236,Oppdrag løst av 110,,L-ukjent
2877569,B06-250103-238,Oppdrag løst av 110,,L-ukjent
2877590,B06-250103-243,Unødig kontroll av melding,,D-pri1
2877601,B06-250103-244,Nødanrop feilring,Andre oppdrag/assistanse,F
2877599,B06-250103-245,ECall feil bruk,eCall,F
2877619,B06-250103-247,Oppdrag løst av 110,,L-ukjent
2877631,B06-250103-249,Oppdrag løst av 110,,L-ukjent
2877715,B06-250103-250,Oppdrag løst av 110,,L-ukjent
2877665,B06-250103-251,ABA matlaging,,D-pri1
2877689,B06-250103-254,Oppdrag løst av 110,ABA,L-hendelse
2877693,B06-250103-255,Oppdrag løst av 110,,L-ukjent
2877716,B06-250103-257,Oppdrag løst av 110,,L-ukjent
2877714,B06-250103-258,Oppdrag løst av 110,,L-ukjent
2877741,B06-250103-259,Nødanrop feilring,,F
2877744,B06-250103-261,Oppdrag løst av 110,,L-ukjent
2877753,B06-250103-262,Nødanrop feilring,,F
2877799,B06-250103-263,Nødanrop feilring,,F
2877816,B06-250103-264,ECall feil bruk,,F
2877818,B06-250103-265,Brann i søppelcontainer,Brann annet,D-pri1
2877827,B06-250103-268,Brann i bygning,,D-pri1
2877830,B06-250103-270,Oppdrag løst av 110,ABA,L-aba
2877849,B06-250103-273,Oppdrag løst av 110,ABA,L-aba
2877858,B06-250103-275,Oppdrag løst av 110,ABA,L-aba
2877886,B06-250103-276,Brann i bygning,,D-pri1
2877888,B06-250103-277,Oppdrag løst av 110,,L-ukjent
2877927,B06-250103-281,Nødanrop feilring,,F
2877937,B06-250103-282,Oppdrag løst av 110,,L-ukjent
2877965,B06-250103-283,ECall feil bruk,,F
2877981,B06-250104-1,Helseoppdrag bære/løfte,Helseoppdrag - Ikke Akutt,D-pri1
2878061,B06-250104-2,Nødanrop feilring,,F
2878067,B06-250104-3,Oppdrag løst av 110,,L-ukjent
2878080,B06-250104-4,Oppdrag løst av 110,,L-ukjent
2878087,B06-250104-5,Oppdrag løst av 110,,L-ukjent
2878089,B06-250104-6,Nødanrop feilring,,F
2878210,B06-250104-7,Oppdrag løst av 110,,L-ukjent
2878234,B06-250104-8,Oppdrag løst av 110,,L-ukjent
2878139,B06-250104-9,Nødanrop feilring,,F
2878167,B06-250104-10,Oppdrag løst av 110,,L-ukjent
2878233,B06-250104-14,Oppdrag løst av 110,,L-ukjent
2878232,B06-250104-15,Oppdrag løst av 110,,L-ukjent
2878189,B06-250104-16,Oppdrag løst av 110,Andre oppdrag/assistanse,L-hendelse
2878194,B06-250104-17,Helseoppdrag annet,Helseoppdrag - Akutt,D-pri1
2878207,B06-250104-19,Oppdrag løst av 110,,L-ukjent
2878200,B06-250104-20,Oppdrag løst av 110,Andre oppdrag/assistanse,L-hendelse
2878231,B06-250104-21,Oppdrag løst av 110,,L-ukjent
2878204,B06-250104-22,Oppdrag løst av 110,ABA,L-aba
2878212,B06-250104-23,Oppdrag løst av 110,,L-ukjent
2878218,B06-250104-24,Ikke reell nødmelding,Andre oppdrag/assistanse,F
2878235,B06-250104-26,Oppdrag løst av 110,,L-ukjent
2878225,B06-250104-25,Oppdrag løst av 110,,L-ukjent
2878255,B06-250104-27,Oppdrag løst av 110,,L-ukjent
2878269,B06-250104-28,Oppdrag løst av 110,,L-ukjent
2878277,B06-250104-29,Oppdrag løst av 110,,L-ukjent
2878265,B06-250104-30,Oppdrag løst av 110,,L-ukjent
2878273,B06-250104-32,Oppdrag løst av 110,,L-ukjent
2878278,B06-250104-33,Oppdrag løst av 110,,L-ukjent
2878275,B06-250104-34,Oppdrag løst av 110,,L-ukjent
2878326,B06-250104-35,Oppdrag løst av 110,,L-ukjent
2878338,B06-250104-36,Oppdrag løst av 110,Andre oppdrag/assistanse,L-hendelse
2878336,B06-250104-37,Avbrutt utrykning alarm,ABA,D-aba
2878429,B06-250104-38,Oppdrag løst av 110,,L-ukjent
2878428,B06-250104-39,Oppdrag løst av 110,,L-ukjent
2878387,B06-250104-40,Oppdrag løst av 110,,L-ukjent
2878373,B06-250104-41,ABA ukjent,ABA,D-aba
2878386,B06-250104-43,Oppdrag løst av 110,,L-ukjent
2878384,B06-250104-44,Nødanrop feilring,,F
2878389,B06-250104-45,Oppdrag løst av 110,,L-ukjent
2878439,B06-250104-46,Oppdrag løst av 110,,L-ukjent
2878432,B06-250104-47,Oppdrag løst av 110,,L-ukjent
2878422,B06-250104-48,Oppdrag løst av 110,,L-ukjent
2878438,B06-250104-49,Oppdrag løst av 110,,L-ukjent
2878435,B06-250104-50,Oppdrag løst av 110,,L-ukjent
2878440,B06-250104-52,ABA annen røyk,,D-pri1
2878441,B06-250104-53,Oppdrag løst av 110,,L-ukjent
2878449,B06-250104-55,Avbrutt utrykning alarm,,D-pri1
2878453,B06-250104-57,Oppdrag løst av 110,Trafikkulykke,L-hendelse
2878451,B06-250104-58,ECall feil bruk,,F
2878457,B06-250104-59,Oppdrag løst av 110,,L-ukjent
2878452,B06-250104-60,Oppdrag løst av 110,,L-ukjent
2878454,B06-250104-61,Oppdrag løst av 110,,L-ukjent
2878470,B06-250104-62,Avbrutt utrykning alarm,ABA,D-aba
2878473,B06-250104-64,Ikke reell nødmelding,,F
2878480,B06-250104-65,Oppdrag løst av 110,,L-ukjent
2878485,B06-250104-66,Nødanrop feilring,,F
2878487,B06-250104-67,Nødanrop feilring,,F
2878492,B06-250104-68,Oppdrag løst av 110,,L-ukjent
2878495,B06-250104-69,Oppdrag løst av 110,,L-ukjent
2878611,B06-250104-70,Oppdrag løst av 110,,L-ukjent
2878513,B06-250104-71,Oppdrag løst av 110,,L-ukjent
2878612,B06-250104-72,Oppdrag løst av 110,,L-ukjent
2878511,B06-250104-73,ABA ukjent,ABA,D-aba
2878512,B06-250104-74,Oppdrag løst av 110,,L-ukjent
2878598,B06-250104-75,Oppdrag løst av 110,,L-ukjent
2878529,B06-250104-76,ECall feil bruk,,F
2878535,B06-250104-81,Oppdrag løst av 110,,L-ukjent
2878547,B06-250104-85,ECall feil bruk,eCall,F
2878575,B06-250104-86,Nødanrop feilring,,F
2878582,B06-250104-87,Ikke reell nødmelding,Andre oppdrag/assistanse,F
2878580,B06-250104-88,Ikke reell nødmelding,,F
2878586,B06-250104-89,Oppdrag løst av 110,,L-ukjent
2878585,B06-250104-90,Oppdrag løst av 110,ABA,L-hendelse
2878604,B06-250104-91,Oppdrag løst av 110,,L-ukjent
2878606,B06-250104-93,Trafikkulykke,Trafikkulykke,D-pri1
2878616,B06-250104-94,Brann i søppelcontainer,Brann annet,D-pri1
2878617,B06-250104-95,Oppdrag løst av 110,Brann annet,L-hendelse
2878637,B06-250104-96,Oppdrag løst av 110,,L-ukjent
2878636,B06-250104-97,Oppdrag løst av 110,,L-ukjent
2878624,B06-250104-98,ECall feil bruk,eCall,F
2878635,B06-250104-99,ECall feil bruk,,F
2878638,B06-250104-101,ECall teknisk/ukjent,,F
2878639,B06-250104-102,Oppdrag løst av 110,,L-ukjent
2878655,B06-250104-103,Oppdrag løst av 110,,L-ukjent
2878671,B06-250104-104,Nødanrop feilring,,F
2878670,B06-250104-106,Oppdrag løst av 110,,L-ukjent
2878665,B06-250104-107,Oppdrag løst av 110,,L-ukjent
